split,model,dimension,segment,sample_count,mean_actual,mean_predicted,mean_residual,mae
oof,Ridge,position,MID,18016,2.325266429840142,2.2376156888758283,0.08765074096431387,1.76013711311408
oof,Ridge,price_band,budget,22915,1.8632773292603098,1.789588929240139,0.07368840002017055,1.590844800498169
oof,Ridge,price_band,mid,14287,2.6420522153006227,2.463784682468251,0.17826753283237134,2.0535727089867506
oof,Ridge,price_band,premium,1447,3.9322736696613685,3.7646612319666337,0.16761243769473502,3.04081845805031
oof,Ridge,price_band,elite,368,5.217391304347826,5.470055272812605,-0.25266396846477956,3.97314759943944
oof,Ridge,minutes_history_band,low,6620,1.280513595166163,1.178513060689318,0.1020005344768453,1.2476743953733322
oof,Ridge,minutes_history_band,rotation,13824,1.8328993055555556,1.7653916615610739,0.06750764399448168,1.6307500592355504
oof,Ridge,minutes_history_band,regular,17984,2.922875889679715,2.7667023690453343,0.1561735206343812,2.199606145515968
oof,Ridge,minutes_history_band,ever_present,589,2.8421052631578947,2.896538232457728,-0.054432969299832816,2.198598106789286
oof,Ridge,home_away,away,18886,2.1668961135232445,1.969563088353648,0.19733302516959686,1.732334946433575
oof,Ridge,home_away,home,18975,2.3839262187088273,2.3494897105021866,0.03443650820664119,1.9502642423015666
oof,Ridge,home_away,mixed_or_blank,1156,1.6392733564013842,1.6351483318222162,0.004125024579167985,1.6718362682396521
oof,Ridge,fixture_band,easy,12084,2.6502813637868257,2.5290302628281163,0.1212511009587097,2.1503087224046102
oof,Ridge,fixture_band,medium,16499,2.328504757864113,2.2106074029499587,0.11789735491415446,1.8665749401905543
oof,Ridge,fixture_band,hard,9688,1.8177126341866225,1.7100264806608678,0.10768615352575477,1.4681231091019653
oof,Ridge,fixture_band,nan,746,0.0,0.09198047330248507,-0.09198047330248507,0.8735352565424374
oof,Ridge,prediction_band,<2,17569,1.1824235869998292,1.1305051682304978,0.0519184187693315,1.2281200696296217
oof,Ridge,prediction_band,2-4,19393,2.9204352085804155,2.780642951285599,0.13979225729481692,2.209075225144996
oof,Ridge,prediction_band,4-6,1868,5.012312633832977,4.621300909889669,0.3910117239433073,3.446173074848713
oof,Ridge,prediction_band,6-8,179,6.597765363128492,6.590266791000251,0.007498572128241438,4.1911972550656715
oof,Ridge,prediction_band,8+,8,12.5,8.73316310328527,3.7668368967147305,6.3339456334856585
oof,Ridge,gw,2,688,2.872093023255814,2.527959305851786,0.34413371740402765,2.0794772702168824
oof,Ridge,gw,3,827,2.5755743651753327,2.3794455523181357,0.196128812857197,1.8966825639113152
oof,Ridge,gw,4,939,2.445154419595314,2.2822694207566663,0.16288499883864843,1.93482005294964
oof,Ridge,gw,5,1024,2.189453125,2.1724393310139707,0.017013793986028893,1.7452119047873036
oof,Ridge,gw,6,1083,2.148661126500462,2.1681305632001204,-0.01946943669965862,1.8142880412167015
oof,Ridge,gw,7,1078,2.292207792207792,2.2120350974350127,0.08017269477277915,1.8002131902524774
oof,Ridge,gw,8,1082,2.210720887245841,2.1523091991512273,0.05841168809461383,1.818872456024196
oof,Ridge,gw,9,1077,2.188486536675952,2.1523301601282476,0.036156376547703865,1.7120588270630426
oof,Ridge,gw,10,1079,2.1872103799814644,2.1343096232728427,0.052900756708621086,1.7151820177732255
oof,Ridge,gw,11,1073,2.29170549860205,2.146836215638605,0.14486928296344534,1.8374657652559905
oof,Ridge,gw,12,1068,2.24438202247191,2.132705971416272,0.1116760510556381,1.8728445895110162
oof,Ridge,gw,13,1065,2.1868544600938966,2.1543632056501236,0.03249125444377329,1.8598608174515163
oof,Ridge,gw,14,1066,2.3330206378986866,2.154730081677933,0.17829055622075346,1.959226417094025
oof,Ridge,gw,15,1083,2.240073868882733,2.0762433684102852,0.16383050047244802,1.857456472959396
oof,Ridge,gw,16,1076,2.2342007434944238,2.126013830790484,0.10818691270393986,1.7945549563260499
oof,Ridge,gw,17,1067,2.262417994376757,2.0675958450989262,0.19482214927783112,1.9369712786887847
oof,Ridge,gw,18,1084,2.157749077490775,2.032019596577393,0.12572948091338212,1.7205943355808833
oof,Ridge,gw,19,1088,2.2380514705882355,2.0799689837287585,0.15808248685947676,1.8719232719477645
oof,Ridge,gw,20,1091,2.1934005499541707,2.0891074730150994,0.10429307693907146,1.79058513804951
oof,Ridge,gw,21,1084,2.209409594095941,2.1202585241990795,0.08915106989686152,1.7701948919451151
oof,Ridge,gw,22,1062,2.238229755178908,2.1388603797919554,0.09936937538695247,1.9012477315248164
oof,Ridge,gw,23,1076,2.1728624535315983,2.145739694192145,0.027122759339453816,1.86379553476034
oof,Ridge,gw,24,1105,2.2733031674208144,2.144914794651441,0.1283883727693733,1.8858379551396922
oof,Ridge,gw,25,1103,2.2783318223028104,2.312961912462812,-0.034630090160001605,1.8514643223235197
oof,Ridge,gw,26,1101,2.1335149863760217,2.107337502365383,0.02617748401063849,1.8711138119938704
oof,Ridge,gw,27,1092,2.2976190476190474,2.1111002358896003,0.18651881172944734,1.8137747323139863
oof,Ridge,gw,28,1081,2.18686401480111,2.174832794389773,0.012031220411337265,1.7446067379446017
oof,Ridge,gw,29,1079,1.6302131603336423,1.5279260802101824,0.10228708012346013,1.5289488241874591
oof,Ridge,gw,30,1048,2.256679389312977,1.9630488281718725,0.2936305611411044,1.8114190630439049
oof,Ridge,gw,31,1057,2.109744560075686,1.9380009827884188,0.17174357728726716,1.687583736719721
oof,Ridge,gw,32,1053,2.3304843304843303,2.11179039638167,0.21869393410266072,1.8564163576732315
oof,Ridge,gw,33,1056,2.7140151515151514,2.537892267560536,0.17612288395461517,2.0874470443527895
oof,Ridge,gw,34,1062,2.1732580037664784,2.0367663176794917,0.13649168608698636,1.9034552015074913
oof,Ridge,gw,35,1072,2.2220149253731343,2.1680914019371684,0.053923523435965875,1.7732500803043527
oof,Ridge,gw,36,1081,2.436632747456059,2.233305691756283,0.203327055699776,1.901327568490076
oof,Ridge,gw,37,1085,2.447926267281106,2.340780892833907,0.10714537444719895,1.9033935466391072
oof,Ridge,gw,38,1082,2.2264325323475047,2.196171555681543,0.03026097666596138,1.8935133927783867
oof,Ridge,season_stage,GW1-5,3478,2.4853364002300173,2.321640694434141,0.16369570579587622,1.8985422261316225
oof,Ridge,season_stage,GW6-10,5399,2.205408408964623,2.1638150499040236,0.04159335906059958,1.7721971696744294
oof,Ridge,season_stage,GW11+,30140,2.2396483078964833,2.120499781862598,0.11914852603388541,1.8408945633889762
test,Ridge (position_specific),position,DEF,4680,2.3365384615384617,1.9009257449608132,0.435612716577648,1.9621176865683363
test,Ridge (position_specific),position,FWD,1461,2.6386036960985626,2.666189929768537,-0.02758623366997419,2.124746499806693
test,Ridge (position_specific),position,GK,899,2.6262513904338154,2.616514878545921,0.009736511887894593,1.8734750383236383
test,Ridge (position_specific),position,MID,5925,2.401350210970464,2.287317107095492,0.11403310387497254,1.8060692919862669
test,Ridge (position_specific),price_band,budget,6608,2.1319612590799033,1.80699254153106,0.32496871754884304,1.7169641403840104
test,Ridge (position_specific),price_band,mid,5715,2.594050743657043,2.473444936899935,0.12060580675710736,1.9876786895097829
test,Ridge (position_specific),price_band,premium,497,3.7142857142857144,3.780746056143303,-0.06646034185758871,2.920414076398448
test,Ridge (position_specific),price_band,elite,145,4.275862068965517,5.10938889957526,-0.8335268306097423,3.5548377769172097
test,Ridge (position_specific),minutes_history_band,low,2113,1.3975390440132514,1.2307905552082432,0.16674848880500814,1.3365712132079786
test,Ridge (position_specific),minutes_history_band,rotation,4657,1.9613485076229331,1.821116952293365,0.1402315553295684,1.6849233203378806
test,Ridge (position_specific),minutes_history_band,regular,6091,3.1347890329995076,2.8521285319978786,0.2826605010016282,2.2683663205469955
test,Ridge (position_specific),minutes_history_band,ever_present,104,1.9038461538461537,2.329997411324139,-0.42615125747798477,1.7759412409159292
test,Ridge (position_specific),home_away,away,6307,2.3023624544157286,2.038450324560037,0.2639121298556911,1.8016323570705421
test,Ridge (position_specific),home_away,home,6346,2.5523164197919948,2.3889168852556195,0.1633995345363755,2.0057431835685504
test,Ridge (position_specific),home_away,mixed_or_blank,312,2.1185897435897436,2.1784101228515826,-0.059820379261838745,1.861661874548217
test,Ridge (position_specific),fixture_band,easy,2266,2.9854368932038833,2.708490542161386,0.2769463510424976,2.31296992038956
test,Ridge (position_specific),fixture_band,medium,7717,2.463133341972269,2.2564204488924386,0.2067128930798303,1.9136482661836447
test,Ridge (position_specific),fixture_band,hard,2810,1.995017793594306,1.8104921027548155,0.18452569083949058,1.5997063820455995
test,Ridge (position_specific),fixture_band,nan,172,0.0,0.34021934756005334,-0.34021934756005334,0.9778580263890195
